sorting_questionnaire	sorting	cat	question_en	question_de
1	2	motivation	꿻hat I enjoy my work.	...dass mir die T채tigkeit Freude bereitet.
2	6	supporting others	꿻o be able to help others.	...anderen zu helfen.
3	13	self-improvement	꿻o learn how to present teaching objectives.	...zu lernen, wie man Lehrinhalte darstellt.
4	29	feedback	꿻o receive feedback about my teaching performance.	...R체ckmeldung zu meinem Auftreten zu erhalten.
5	12	self-improvement	꿻o interact with the participants.	...mit den Lernenden (Teilnehmer) zu interagieren.
6	23	feedback	꿻o be appreciated by the lecturers and supervisors.	...von Dozenten bzw. Betreuern Anerkennung zu erhalten.
7	11	self-improvement	꿻o lead a group.	...eine Gruppe zu leiten.
8	10	supporting others	꿻o be a good teacher.	...ein guter Lehrender zu sein.
9	28	feedback	꿻o be supported professionally at work.	...dass ich bei meiner T채tigkeit professionell unterst체tzt werde.
10	20	self-improvement	꿻hat I can prove to myself that I can teach.	...dass ich mir beweise, dass ich unterrichten kann.
11	3	motivation	꿻hat I have a lot of creative leeway.	...dass ich viel Gestaltungsspielraum habe.
12	31	negative	꿻hat my lecturers or supervisors control my work.	꿥ass die Dozenten bzw. Betreuer meine T채tigkeit kontrollieren.
13	14	self-improvement	꿻o improve my rhetorical skills.	...meine rhetorischen F채higkeiten zu verbessern.
14	32	negative	꿻hat my work is on a voluntary basis (unpaid).	...dass meine T채tigkeit ehrenamtlich ist (keine Finanzierung).
15	15	self-improvement	꿻o learn the teaching objectives myself.	...die Lehrinhalte selbst zu lernen.
16	27	feedback	꿻o meet the demands of the participants.	...die Anforderungen der Lernenden (Teilnehmer) zu erf체llen.
17	18	self-improvement	꿻hat my work is beneficial for my career.	...dass die T채tigkeit f철rderlich f체r meine Karriere ist.
18	7	supporting others	꿻o explain teaching objectives to others.	...anderen Lehrinhalte zu erkl채ren.
19	8	supporting others	꿻o share my knowledge and experience with others.	...Wissen und Erfahrung an andere weiterzugeben.
20	19	self-improvement	...to be an example for others.	...eine Vorbildfunktion einzunehmen.
21	33	negative	꿻hat my work is mandatory (for all students).	...dass die T채tigkeit verpflichtend ist (f체r alle Studierenden).
22	1	motivation	꿻hat I find my work interesting.	...dass ich meine T채tigkeit interessant finde.
23	16	self-improvement	꿻o actively shape the teaching situation.	...die Lehre aktiv mitzugestalten.
24	22	financial	꿻hat my work is paid.	...dass meine T채tigkeit finanziell honoriert wird.
25	25	feedback	꿻hat the lecturers and supervisors trust me.	꿥ass mir die Dozenten bzw. Betreuer Vertrauen entgegenbringen.
26	17	self-improvement	꿻o interact with the team (other peer teachers, lecturers and supervisors).	...mit dem Team (anderen peer teachern, Dozenten und Betreuern) zu interagieren.
27	26	feedback	꿻o be appreciated by the participants.	...von Lernenden (Teilnehmer) Anerkennung zu erhalten.
28	30	negative	꿻o receive and follow a strictly defined teaching concept.	꿦in streng vorgegebenes Lehrkonzept zu erhalten und zu befolgen.
29	9	supporting others	꿻he participants learn something.	...dass die Teilnehmer etwas lernen.
30	21	self-improvement	꿻hat the work makes me proud.	...dass mich meine T채tigkeit stolz macht.
31	24	feedback	꿻o meet the demands of the lecturers and supervisors.	...die Anforderungen der Dozenten bzw. der Betreuer zu erf체llen.
32	5	motivation	My work as a peer teacher enriches my life.	Meine T채tigkeit als peer teacher bereichert mein Leben.
33	4	motivation	I am looking forward to the next job as a peer teacher.	Ich freue mich auf meine n채chste T채tigkeit als peer teacher.
